id,area,subarea,priority,status,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
L001,Load Matrix,Distance edgelist load,P0,Covered,Smoke,"distance edgelist","COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_Distance_linklist_BS.csv","cypress/e2e/journeys/flows/upload-launch-twod.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts","Load a distance edgelist through Files, launch to 2D, and confirm the network renders with expected stats.","DOM stats are correct; Cytoscape exists; nodes and links loaded.",,Use observed and intended counts where needed,2026-03-10
L002,Load Matrix,Distance matrix load,P0,Covered,Smoke,"matrix","AngularTesting_DistanceMatrix_TN93_BS.xlsx","cypress/e2e/journeys/flows/upload-launch-twod.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts","Load a distance matrix through Files, launch to 2D, and confirm the network renders with expected stats.","DOM stats are correct; Cytoscape exists; nodes and links loaded.",,Matrix baseline exists but needs more filtering combinations,2026-03-10
L003,Load Matrix,FASTA load,P0,Covered,Smoke,"fasta","SARSCoV2_Simulated_Sequences_snp.fas; AngularTesting_seqs_TN93_BS.fasta","cypress/e2e/journeys/flows/upload-launch-twod.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts","Load FASTA, let the app derive links, launch to 2D, and confirm expected counts.","DOM stats are correct; derived links render; Cytoscape exists.",,This is the main SNP path today,2026-03-10
L004,Load Matrix,Node list plus link list load,P0,Covered,Smoke,"node + link","TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv","cypress/e2e/journeys/flows/apply-style-twod.cy.ts; cypress/e2e/ingestion/files-ui.cy.ts","Load separate node and link files and confirm they merge into a single 2D network.","Merged node and link fields are present; DOM stats render; Cytoscape exists.",,Covered for style and maintained ingestion flow,2026-03-10
L005,Load Matrix,Sequence node list load,P0,Covered,Smoke,"node with sequences","AngularTesting_nodelist_withseqs_TN93_BS.csv","cypress/e2e/journeys/flows/grouping-subtype-colors-threshold.cy.ts; cypress/e2e/journeys/flows/upload-launch-twod.cy.ts","Load a node list with sequences, derive links, launch to 2D, and confirm expected counts.","DOM stats are correct; derived links render; Cytoscape exists.",,This is the best profile for sequence-derived TN93 grouping,2026-03-10
L006,Load Matrix,Newick load,P1,Covered,Smoke,"newick","AngularTesting_seqs_TN93_BS.nwk","cypress/e2e/journeys/flows/upload-launch-twod.cy.ts","Load a Newick tree, convert it into links, launch to 2D, and confirm the network renders with expected TN93 stats.","DOM stats and parsed Newick link counts are asserted for the AngularTesting fixture.",,Now covered by the load-to-2D journey using the new Newick profile,2026-03-13
L007,Load Matrix,Mixed-origin load,P1,Covered,Smoke,"sequence + epi link","AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv","cypress/e2e/journeys/flows/mixed-origin-nearest-neighbor.cy.ts","Load a sequence-derived network plus an epi link list so some links have multiple origins.","Origin arrays are preserved; DOM stats render; Cytoscape exists; mixed-origin links are present.",,Current AngularTesting mixed-origin load resolves to 17 visible links with 7 dual-origin links,2026-03-10
L008,Load Matrix,Large dataset 2D smoke,P2,Covered,Smoke,"large node + epi link","LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv","cypress/e2e/journeys/flows/upload-launch-twod.cy.ts","Load a larger network and verify the app can still launch 2D and produce sane counts.","2D launch succeeds; no crash; DOM stats are populated; Cytoscape exists.",,"Covered by the maintained load-to-2D profile with exact node and visible-link counts on the large node + epi-link fixtures.",2026-03-13
F001,Filtering,Threshold change,P0,Covered,Behavior,"TN93 grouped network","AngularTesting_DistanceMatrix_TN93_BS.xlsx; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv","cypress/e2e/journeys/flows/change-link-threshold.cy.ts; cypress/e2e/journeys/flows/grouping-subtype-colors-threshold.cy.ts","Change the filtering threshold after 2D launch and verify visible links update correctly.","Visible link count changes as expected; grouping parents stay stable when required.",,One grouped profile still tracks observed vs intended behavior separately,2026-03-10
F002,Filtering,Minimum Cluster Size,P0,Covered,Behavior,"clustered uploaded network","AngularTesting_Epi_linklist_BS.csv","cypress/e2e/journeys/flows/minimum-cluster-size-reveal.cy.ts","Raise Minimum Cluster Size and verify smaller clusters disappear from the 2D network.","Node, link, cluster, and singleton counts update; Cytoscape visible node set shrinks accordingly.",,Covered on the epi-link clustering fixture with minimum cluster size 3,2026-03-10
